Id_caso;año;ubigeo_hecho;fecha_denuncia;desc_delito_generico;desc_delito_subgenerico;desc_delito_especifico;cantidad_partes_involucras;cantidad_x_tipo_parte;codigo_etapa_caso;descripcion_etapa_caso;descripcion_estado_caso;canal_denuncia;CC.EST;NY.GDP.MKTP.KD;NY.GDP.NGAS.RT.ZS;NY.GDP.PETR.RT.ZS;NY.GDP.MINR.RT.ZS;GC.TAX.TOTL.GD.ZS;PV.EST;RQ.EST;GE.EST;RL.EST;delincuencia;Departamento;NSE
1;2022;1004;10/28/2022;2;2;15;4;5;2;3;2;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;18;2
2;2020;1005;8/6/2020;2;2;4;4;2;2;3;1;4;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;1;2
3;2021;1005;7/22/2021;1;1;9;1;6;1;2;3;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;14;3
4;2020;1004;3/30/2020;2;2;3;3;10;3;1;1;4;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;17;5
5;2021;1005;9/14/2021;2;2;6;5;1;2;3;1;4;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;1;2
6;2021;1001;11/15/2021;2;2;5;4;3;3;1;3;3;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;14;3
7;2021;1002;5/12/2021;2;2;13;1;9;3;1;3;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;21;4
8;2020;1001;3/16/2020;2;2;13;3;9;3;1;2;2;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;7;4
9;2020;1004;12/20/2020;1;1;10;1;5;2;3;3;2;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;7;5
10;2023;1004;11/14/2023;2;2;4;1;8;1;2;2;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;23;2
11;2021;1005;12/31/2021;2;2;11;5;10;3;1;2;4;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;22;2
12;2024;1001;5/31/2024;2;2;2;2;7;2;3;3;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;1;3
13;2022;1002;3/29/2022;1;1;9;2;10;3;1;1;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;25;1
14;2020;1005;11/24/2020;2;2;12;5;7;1;2;1;1;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;14;1
15;2022;1005;3/21/2022;2;2;15;1;8;3;1;1;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;4;3
16;2023;1001;9/7/2023;2;2;5;2;3;3;1;2;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;17;5
17;2021;1001;4/4/2021;1;1;10;4;8;2;3;1;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;25;3
18;2024;1005;3/22/2024;2;2;3;3;4;3;1;1;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;22;5
19;2021;1002;2/23/2021;2;2;1;2;4;1;2;3;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;20;1
20;2023;1004;6/14/2023;2;2;7;2;4;1;2;1;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;12;3
21;2021;1002;10/26/2021;2;2;1;4;2;2;3;3;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;19;4
22;2022;1001;11/22/2022;2;2;7;2;7;3;1;3;3;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;11;5
23;2023;1004;10/30/2023;2;2;11;4;6;1;2;2;2;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;15;4
24;2023;1001;1/30/2023;2;2;2;3;5;3;1;2;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;15;1
25;2023;1005;9/18/2023;2;2;14;5;2;2;3;2;3;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;21;5
26;2022;1005;8/29/2022;2;2;11;3;5;1;2;2;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;4;1
27;2022;1001;11/10/2022;2;2;12;3;8;1;2;1;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;10;4
28;2021;1002;11/27/2021;2;2;13;5;4;1;2;3;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;5;4
29;2023;1004;5/1/2023;2;2;1;4;6;2;3;3;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;11;4
30;2022;1003;6/18/2022;2;2;11;3;3;2;3;2;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;3;5
31;2020;1004;8/11/2020;2;2;15;5;4;3;1;1;4;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;8;2
32;2022;1002;11/8/2022;2;2;5;4;9;3;1;2;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;20;1
33;2020;1002;12/23/2020;2;2;6;1;9;1;2;1;3;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;3;4
34;2021;1002;2/3/2021;2;2;7;3;4;2;3;1;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;2;2
35;2022;1004;8/2/2022;2;2;3;5;5;2;3;3;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;6;2
36;2022;1001;2/12/2022;2;2;15;1;8;1;2;1;4;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;25;2
37;2021;1001;8/12/2021;2;2;12;4;6;2;3;2;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;14;5
38;2023;1001;10/5/2023;2;2;12;5;4;3;1;2;2;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;10;1
39;2022;1004;5/7/2022;2;2;8;2;4;1;2;2;4;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;23;4
40;2022;1005;6/11/2022;2;2;14;5;5;3;1;2;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;8;4
41;2024;1002;3/29/2024;2;2;12;3;8;2;3;2;3;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;7;2
42;2024;1005;3/26/2024;2;2;8;4;2;2;3;2;1;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;2;4
43;2023;1003;10/6/2023;2;2;15;5;5;3;1;1;3;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;10;5
44;2021;1001;2/5/2021;2;2;6;2;2;1;2;1;4;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;11;1
45;2020;1002;5/31/2020;2;2;7;3;7;2;3;3;4;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;10;2
46;2020;1001;12/26/2020;2;2;1;4;1;3;1;2;3;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;17;2
47;2021;1001;10/21/2021;2;2;15;2;1;1;2;3;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;18;1
48;2024;1003;10/2/2024;2;2;7;3;9;2;3;1;3;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;15;3
49;2021;1002;4/21/2021;2;2;3;2;2;1;2;2;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;6;5
50;2024;1003;3/27/2024;2;2;6;1;7;1;2;3;1;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;13;3
51;2023;1005;9/5/2023;2;2;12;1;9;2;3;2;3;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;5;3
52;2023;1003;12/18/2023;2;2;2;1;2;1;2;3;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;15;5
53;2023;1002;5/11/2023;2;2;3;1;5;2;3;1;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;12;3
54;2023;1001;1/13/2023;1;1;9;4;5;2;3;2;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;10;2
55;2020;1001;12/14/2020;2;2;2;5;9;2;3;1;1;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;1;5
56;2020;1002;10/26/2020;2;2;15;1;3;3;1;2;1;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;11;4
57;2022;1002;6/26/2022;2;2;3;2;7;2;3;1;4;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;5;4
58;2020;1005;1/12/2020;2;2;15;5;8;1;2;2;4;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;24;1
59;2024;1005;9/26/2024;2;2;13;3;8;3;1;1;3;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;15;2
60;2020;1004;7/30/2020;2;2;6;5;9;2;3;3;3;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;21;4
61;2024;1001;12/15/2024;2;2;8;1;3;1;2;2;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;25;5
62;2022;1003;7/14/2022;2;2;3;3;7;1;2;3;3;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;15;1
63;2020;1001;3/15/2020;2;2;15;2;8;3;1;1;3;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;22;1
64;2023;1003;3/23/2023;2;2;13;4;10;2;3;1;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;6;2
65;2024;1003;3/31/2024;2;2;13;5;8;3;1;3;3;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;3;1
